No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
26541,2013,1,10,20,421.0,-9,-7.0,1027.0,SE,12.52,0,0
5059,2010,7,30,18,267.0,27,30.0,998.0,NE,1.79,0,0
1939,2010,3,22,18,47.0,-12,12.0,1016.0,NW,84.46,0,0
23287,2012,8,28,6,83.0,22,22.0,1006.0,NW,1.79,0,0
16779,2011,12,1,2,174.0,-8,-6.0,1036.0,NE,0.89,0,0
12207,2011,5,24,14,77.0,8,28.0,1013.0,SE,110.86,0,0
24137,2012,10,2,16,162.0,12,24.0,1011.0,SE,9.84,0,0
18347,2012,2,4,10,19.0,-22,-4.0,1029.0,NE,24.58,0,0
4465,2010,7,6,0,62.0,14,27.0,999.0,NE,3.13,0,0
36985,2014,3,22,0,71.0,-12,16.0,1015.0,SE,42.91,0,0
35138,2014,1,4,1,86.0,-6,-2.0,1025.0,SE,8.5,0,0
10322,2011,3,7,1,,-13,2.0,1027.0,NW,32.64,0,0
39292,2014,6,26,3,193.0,20,23.0,1003.0,SE,61.72,0,0
34713,2013,12,17,8,40.0,-16,0.0,1033.0,NE,10.73,0,0
21785,2012,6,26,16,149.0,21,28.0,1009.0,SE,7.15,0,0
12407,2011,6,1,22,33.0,9,22.0,1007.0,SE,21.01,0,0
34193,2013,11,25,16,14.0,-21,7.0,1017.0,NW,162.73,0,0
40827,2014,8,29,2,80.0,19,20.0,1016.0,SE,4.02,0,1
2549,2010,4,17,4,130.0,2,5.0,1023.0,SE,64.81,0,0
32486,2013,9,15,13,29.0,2,26.0,1014.0,cv,0.89,0,0
26274,2012,12,30,17,13.0,-20,-3.0,1024.0,NW,112.21,0,0
13708,2011,7,26,3,80.0,24,24.0,999.0,cv,0.89,0,0
25651,2012,12,4,18,138.0,-15,0.0,1020.0,NW,3.58,0,0
22219,2012,7,14,18,19.0,16,29.0,1002.0,SE,6.71,0,0
4382,2010,7,2,13,17.0,15,35.0,999.0,cv,6.26,0,0
42900,2014,11,23,11,101.0,0,6.0,1026.0,SE,0.89,0,0
40577,2014,8,18,16,,18,30.0,1010.0,SE,16.99,0,0
30447,2013,6,22,14,45.0,19,22.0,1008.0,NE,10.28,0,1
11311,2011,4,17,6,12.0,-3,15.0,1009.0,NW,33.07,0,0
30094,2013,6,7,21,140.0,19,21.0,1009.0,NW,5.37,0,0
16724,2011,11,28,19,64.0,-2,4.0,1029.0,SE,27.27,0,0
10257,2011,3,4,8,83.0,-9,-1.0,1025.0,NE,0.89,0,0
23822,2012,9,19,13,17.0,5,29.0,1009.0,cv,0.89,0,0
28739,2013,4,12,10,62.0,-10,14.0,1016.0,NW,1.79,0,0
16790,2011,12,1,13,92.0,-10,4.0,1029.0,cv,4.45,0,0
6571,2010,10,1,18,247.0,17,20.0,1016.0,cv,0.89,0,0
17786,2012,1,12,1,147.0,-17,-12.0,1030.0,NE,1.79,0,0
36044,2014,2,10,19,42.0,-18,-4.0,1032.0,SE,19.67,0,0
1975,2010,3,24,6,68.0,-5,4.0,1021.0,NW,1.79,0,0
15237,2011,9,27,20,167.0,14,20.0,1016.0,SE,18.33,0,0
26448,2013,1,6,23,339.0,-14,-10.0,1026.0,SE,0.89,0,0
35243,2014,1,8,10,21.0,-20,-2.0,1036.0,NW,7.15,0,0
3035,2010,5,7,10,87.0,10,23.0,1003.0,cv,1.79,0,0
16572,2011,11,22,11,223.0,1,7.0,1020.0,SE,4.92,0,0
23708,2012,9,14,19,27.0,12,17.0,1016.0,SE,0.89,0,0
30784,2013,7,6,15,43.0,17,34.0,999.0,SE,23.7,0,0
36559,2014,3,4,6,3.0,-8,-1.0,1025.0,NW,3.13,0,0
29742,2013,5,24,5,233.0,17,19.0,1010.0,cv,0.89,0,0
6217,2010,9,17,0,117.0,17,19.0,1010.0,SE,129.65,0,4
25561,2012,12,1,0,41.0,-16,-8.0,1035.0,NW,1.79,0,0
38476,2014,5,23,3,80.0,13,24.0,1010.0,SE,75.55,0,0
17207,2011,12,18,22,116.0,-15,-4.0,1032.0,NW,9.83,0,0
11516,2011,4,25,19,90.0,7,15.0,1002.0,SE,33.09,0,0
18517,2012,2,11,12,73.0,-22,3.0,1028.0,NE,7.15,0,0
2923,2010,5,2,18,39.0,-8,30.0,1002.0,NW,33.08,0,0
9673,2011,2,8,0,208.0,-10,-6.0,1012.0,cv,2.68,0,0
40268,2014,8,5,19,25.0,20,29.0,1005.0,SE,17.89,0,0
30081,2013,6,7,8,103.0,18,21.0,1008.0,SE,11.63,0,0
25110,2012,11,12,5,13.0,-13,2.0,1019.0,NW,299.92,0,0
4657,2010,7,14,0,122.0,22,24.0,1010.0,SE,0.89,0,0
7261,2010,10,30,12,38.0,-2,18.0,1027.0,NW,8.94,0,0
8168,2010,12,7,7,94.0,-11,-3.0,1020.0,SE,3.58,0,0
8673,2010,12,28,8,14.0,-20,-5.0,1018.0,NW,162.26,0,0
41404,2014,9,22,3,80.0,17,20.0,1019.0,SE,1.79,0,0
9384,2011,1,26,23,117.0,-19,-9.0,1041.0,NW,6.26,0,0
31536,2013,8,6,23,177.0,26,30.0,1000.0,SE,3.13,0,0
42014,2014,10,17,13,82.0,3,22.0,1015.0,cv,4.47,0,0
27175,2013,2,6,6,208.0,-12,-11.0,1023.0,NW,1.79,0,0
39437,2014,7,2,4,45.0,20,21.0,1003.0,cv,0.89,0,1
34203,2013,11,26,2,97.0,-13,-3.0,1017.0,cv,5.79,0,0
25039,2012,11,9,6,98.0,3,6.0,1024.0,NE,2.67,0,0
27728,2013,3,1,7,9.0,-23,-3.0,1032.0,NW,232.44,0,0
29440,2013,5,11,15,17.0,-17,34.0,992.0,NW,33.97,0,0
9829,2011,2,14,12,26.0,-18,-2.0,1033.0,cv,0.89,0,0
35159,2014,1,4,22,203.0,-8,-4.0,1021.0,cv,1.78,0,0
11398,2011,4,20,21,189.0,8,18.0,1008.0,SE,25.05,0,0
2628,2010,4,20,11,69.0,7,16.0,1020.0,cv,2.68,0,0
2358,2010,4,9,5,50.0,2,13.0,1011.0,NE,4.92,0,0
41504,2014,9,26,7,111.0,16,17.0,1012.0,SE,9.39,0,0
29459,2013,5,12,10,24.0,-6,25.0,1001.0,NE,4.02,0,0
7990,2010,11,29,21,174.0,-2,-1.0,1019.0,NW,0.89,0,0
18375,2012,2,5,14,116.0,-14,3.0,1017.0,cv,1.79,0,0
16616,2011,11,24,7,121.0,-9,-6.0,1028.0,NE,0.89,0,0
34396,2013,12,4,3,163.0,-10,-1.0,1021.0,cv,0.45,0,0
15900,2011,10,25,11,21.0,-6,13.0,1031.0,cv,2.68,0,0
22104,2012,7,9,23,60.0,23,24.0,1002.0,SE,1.79,0,0
38399,2014,5,19,22,141.0,16,22.0,1003.0,cv,0.89,0,0
30420,2013,6,21,11,84.0,16,31.0,1010.0,SE,3.13,0,0
23300,2012,8,28,19,105.0,21,31.0,998.0,SE,7.15,0,0
13537,2011,7,19,0,165.0,22,26.0,1004.0,NW,3.13,0,0
12051,2011,5,18,2,255.0,14,20.0,997.0,SE,3.58,0,0
4951,2010,7,26,6,225.0,24,26.0,1009.0,cv,0.89,0,0
27560,2013,2,22,7,28.0,-10,-2.0,1030.0,NW,23.69,0,0
13551,2011,7,19,14,68.0,22,29.0,1002.0,cv,0.89,0,0
31944,2013,8,23,23,39.0,18,22.0,1009.0,SE,0.89,0,0
43323,2014,12,11,2,17.0,-16,-2.0,1033.0,NW,142.15,0,0
33067,2013,10,9,18,181.0,11,15.0,1009.0,NW,6.26,0,0
19258,2012,3,13,9,156.0,-10,2.0,1022.0,cv,1.78,0,0
10541,2011,3,16,4,19.0,-11,0.0,1025.0,NE,4.02,0,0
29820,2013,5,27,11,66.0,16,21.0,1009.0,SE,1.79,0,0
11234,2011,4,14,1,144.0,8,13.0,1009.0,cv,3.56,0,0
27665,2013,2,26,16,196.0,-7,11.0,1017.0,SE,9.83,0,0
11870,2011,5,10,13,28.0,4,26.0,1008.0,SE,5.81,0,0
28019,2013,3,13,10,16.0,-15,5.0,1031.0,NE,13.86,0,0
330,2010,1,14,17,89.0,-15,-5.0,1025.0,SE,1.79,0,0
43748,2014,12,28,19,110.0,-13,6.0,1017.0,NW,37.98,0,0
16235,2011,11,8,10,27.0,4,13.0,1028.0,NW,27.71,0,0
41057,2014,9,7,16,100.0,18,29.0,1005.0,SE,19.67,0,0
35108,2014,1,2,19,195.0,-9,1.0,1016.0,cv,8.47,0,0
36324,2014,2,22,11,283.0,-5,5.0,1031.0,cv,0.89,0,0
27980,2013,3,11,19,162.0,-4,9.0,1016.0,SE,36.67,0,0
9276,2011,1,22,11,49.0,-17,-3.0,1029.0,NW,4.92,0,0
40546,2014,8,17,9,36.0,18,25.0,1010.0,NE,4.92,0,0
4026,2010,6,17,17,36.0,17,20.0,1001.0,NW,4.92,0,0
34836,2013,12,22,11,80.0,-15,-2.0,1034.0,cv,1.78,0,0
16673,2011,11,26,16,210.0,-5,6.0,1019.0,cv,0.89,0,0
11639,2011,4,30,22,251.0,-1,17.0,1007.0,NW,125.16,0,0
7254,2010,10,30,5,47.0,0,3.0,1027.0,NW,17.44,0,0
42042,2014,10,18,17,230.0,10,21.0,1014.0,SE,8.05,0,0
4866,2010,7,22,17,137.0,23,33.0,1006.0,SE,14.31,0,0
5401,2010,8,14,0,,24,26.0,999.0,SE,6.26,0,0
10034,2011,2,23,1,373.0,-5,-3.0,1018.0,NE,1.79,0,0
38642,2014,5,30,1,71.0,13,27.0,1003.0,SE,1.79,0,0
15943,2011,10,27,6,,3,3.0,1023.0,cv,1.78,0,0
134,2010,1,6,13,36.0,-22,-10.0,1033.0,NW,4.02,0,0
2666,2010,4,22,1,31.0,6,9.0,1022.0,NE,1.79,0,4
12587,2011,6,9,10,165.0,19,27.0,1005.0,cv,4.46,0,0
22132,2012,7,11,3,54.0,21,22.0,994.0,SE,1.79,0,0
6353,2010,9,22,16,,-3,22.0,1020.0,NW,4.02,0,0
42624,2014,11,11,23,8.0,-15,8.0,1023.0,NW,133.68,0,0
18613,2012,2,15,12,113.0,-10,0.0,1028.0,cv,3.57,0,0
1853,2010,3,19,4,228.0,2,3.0,1006.0,cv,0.89,0,2
9766,2011,2,11,21,8.0,-18,-7.0,1035.0,NW,9.83,0,0
18452,2012,2,8,19,20.0,-21,-3.0,1025.0,NW,3.13,0,0
20491,2012,5,3,18,18.0,8,29.0,1005.0,SE,12.52,0,0
43013,2014,11,28,4,52.0,-8,1.0,1021.0,NW,10.28,0,0
21619,2012,6,19,18,225.0,20,28.0,998.0,SE,23.25,0,0
7176,2010,10,26,23,35.0,-5,0.0,1036.0,SE,4.91,0,0
17452,2011,12,29,3,52.0,-8,-5.0,1038.0,cv,2.67,0,0
35415,2014,1,15,14,47.0,-22,5.0,1029.0,cv,3.57,0,0
23503,2012,9,6,6,74.0,13,13.0,1017.0,NW,1.79,0,0
957,2010,2,9,20,181.0,-6,0.0,1025.0,cv,0.89,0,0
15201,2011,9,26,8,256.0,15,16.0,1020.0,cv,0.89,0,0
10743,2011,3,24,14,15.0,-17,12.0,1025.0,NW,150.65,0,0
14514,2011,8,28,17,63.0,20,28.0,1007.0,SE,5.37,0,0
37432,2014,4,9,15,62.0,-7,29.0,1008.0,NE,12.07,0,0
30306,2013,6,16,17,199.0,20,22.0,1001.0,NW,6.26,0,0
13478,2011,7,16,13,70.0,19,30.0,1004.0,SE,3.13,0,0
30863,2013,7,9,22,55.0,22,23.0,1004.0,cv,3.56,0,0
29556,2013,5,16,11,37.0,8,24.0,1018.0,cv,8.93,0,0
29213,2013,5,2,4,57.0,3,14.0,1013.0,SE,49.62,0,0
33276,2013,10,18,11,226.0,4,14.0,1026.0,cv,1.78,0,0
28461,2013,3,31,20,259.0,2,6.0,1015.0,NW,4.92,0,0
31259,2013,7,26,10,53.0,19,28.0,1004.0,SE,3.13,0,0
12952,2011,6,24,15,23.0,15,27.0,1009.0,NW,3.13,0,0
31433,2013,8,2,16,89.0,22,30.0,1004.0,SE,6.71,0,0
29367,2013,5,8,14,163.0,13,22.0,1014.0,SE,25.48,0,0
30453,2013,6,22,20,54.0,19,21.0,1007.0,SE,6.7,0,0
5691,2010,8,26,2,133.0,18,20.0,1015.0,NW,0.89,0,0
34773,2013,12,19,20,80.0,-19,-4.0,1032.0,SE,3.58,0,0
34199,2013,11,25,22,29.0,-16,0.0,1017.0,cv,2.23,0,0
42489,2014,11,6,8,9.0,-6,8.0,1031.0,NE,18.78,0,0
40825,2014,8,29,0,79.0,18,19.0,1015.0,NE,1.79,0,0
29335,2013,5,7,6,185.0,13,16.0,1015.0,NE,0.89,0,0
31531,2013,8,6,18,128.0,25,31.0,998.0,SE,15.2,0,0
35560,2014,1,21,15,54.0,-24,4.0,1030.0,SE,4.02,0,0
36111,2014,2,13,14,204.0,-10,0.0,1034.0,SE,68.4,0,0
38240,2014,5,13,7,108.0,14,16.0,1001.0,NW,1.78,0,0
26504,2013,1,9,7,27.0,-20,-13.0,1032.0,NW,1.79,0,0
7527,2010,11,10,14,126.0,-4,11.0,1015.0,SE,3.13,0,0
22408,2012,7,22,15,9.0,16,34.0,998.0,NW,55.88,0,0
16473,2011,11,18,8,89.0,6,9.0,1016.0,NW,25.93,0,0
21140,2012,5,30,19,9.0,2,24.0,1015.0,NE,1.79,0,0
38740,2014,6,3,3,52.0,13,17.0,1008.0,NW,22.35,0,0
17913,2012,1,17,8,,-7,-2.0,1023.0,NW,4.02,0,0
24752,2012,10,28,7,13.0,-1,8.0,1028.0,NE,12.96,0,0
17912,2012,1,17,7,,-7,-2.0,1022.0,cv,0.89,0,0
41799,2014,10,8,14,280.0,13,19.0,1018.0,SE,1.79,0,0
21996,2012,7,5,11,93.0,22,25.0,1004.0,NW,8.05,0,0
6730,2010,10,8,9,348.0,14,15.0,1017.0,NE,2.68,0,0
10469,2011,3,13,4,351.0,-3,3.0,1008.0,cv,0.89,0,0
41101,2014,9,9,12,31.0,13,27.0,1010.0,SE,1.79,0,0
42516,2014,11,7,11,62.0,-7,7.0,1033.0,cv,2.67,0,0
22756,2012,8,6,3,82.0,24,25.0,1010.0,cv,2.67,0,0
3418,2010,5,23,9,140.0,11,24.0,1003.0,NW,8.05,0,0
38284,2014,5,15,3,77.0,6,10.0,1001.0,cv,0.89,0,0
15819,2011,10,22,2,267.0,9,10.0,1019.0,cv,1.35,0,0
36905,2014,3,18,16,76.0,-6,14.0,1021.0,SE,37.55,0,0
21662,2012,6,21,13,154.0,18,31.0,1003.0,cv,1.79,0,0
8636,2010,12,26,19,60.0,-18,0.0,1013.0,SE,15.19,0,0
42609,2014,11,11,8,9.0,-7,11.0,1018.0,NW,18.78,0,0
12748,2011,6,16,3,120.0,16,21.0,1005.0,NW,14.75,0,0
43720,2014,12,27,15,208.0,-10,5.0,1026.0,SE,3.13,0,0
7617,2010,11,14,8,22.0,-8,0.0,1035.0,NW,187.8,0,0
32088,2013,8,29,23,14.0,11,22.0,1008.0,NE,5.81,0,0
18942,2012,2,29,5,200.0,-8,-5.0,1021.0,NE,0.89,0,0
10659,2011,3,21,2,,-4,-1.0,1022.0,NE,0.89,0,0
32442,2013,9,13,17,166.0,18,21.0,1004.0,SE,1.79,0,0
7564,2010,11,12,3,9.0,-6,-1.0,1016.0,NW,138.09,0,0
33069,2013,10,9,20,197.0,11,15.0,1009.0,NW,1.79,0,0
18147,2012,1,27,2,25.0,-19,-4.0,1024.0,NE,12.52,0,0
3796,2010,6,8,3,191.0,14,20.0,1014.0,NE,0.89,0,0
17627,2012,1,5,10,60.0,-16,-4.0,1030.0,NW,16.55,0,0
21776,2012,6,26,7,116.0,20,23.0,1010.0,cv,0.89,0,0
42665,2014,11,13,16,35.0,-15,12.0,1022.0,NW,39.34,0,0
15488,2011,10,8,7,150.0,9,11.0,1019.0,NW,12.97,0,0
3491,2010,5,26,10,118.0,11,27.0,1014.0,SE,10.73,0,0
13218,2011,7,5,17,139.0,20,28.0,998.0,NE,3.58,0,0
33637,2013,11,2,12,356.0,5,12.0,1023.0,SE,1.79,0,0
42372,2014,11,1,11,11.0,-2,15.0,1020.0,NW,12.97,0,0
41026,2014,9,6,9,133.0,20,24.0,1013.0,cv,0.89,0,0
9694,2011,2,8,21,100.0,-11,-3.0,1021.0,cv,0.89,0,0
19765,2012,4,3,12,34.0,-14,15.0,1015.0,NW,4.92,0,0
18540,2012,2,12,11,113.0,-9,-1.0,1029.0,SE,1.79,0,0
9947,2011,2,19,10,138.0,-11,3.0,1025.0,NW,27.71,0,0
30041,2013,6,5,16,180.0,17,19.0,1011.0,SE,19.68,0,0
38891,2014,6,9,10,,13,25.0,1005.0,cv,1.78,0,0
12137,2011,5,21,16,43.0,-5,26.0,1011.0,cv,4.02,0,0
19271,2012,3,13,22,26.0,-14,3.0,1020.0,NW,12.06,0,0
43730,2014,12,28,1,393.0,-9,-4.0,1024.0,NE,1.79,0,0
42062,2014,10,19,13,213.0,11,20.0,1014.0,SE,10.73,0,0
4579,2010,7,10,18,88.0,20,23.0,1005.0,SE,8.05,0,0
35350,2014,1,12,21,56.0,-22,-4.0,1035.0,cv,1.34,0,0
25674,2012,12,5,17,9.0,-24,-5.0,1025.0,NW,120.7,0,0
13958,2011,8,5,13,144.0,23,30.0,1006.0,SE,10.29,0,0
33518,2013,10,28,13,274.0,2,16.0,1018.0,NW,33.08,0,0
5593,2010,8,22,0,9.0,16,19.0,1013.0,NE,10.28,0,5
23290,2012,8,28,9,83.0,22,26.0,1005.0,NW,3.13,0,0
14568,2011,8,30,23,172.0,23,24.0,1007.0,SE,0.89,0,0
24662,2012,10,24,13,52.0,-5,24.0,1010.0,NW,8.05,0,0
20231,2012,4,22,22,257.0,13,17.0,1003.0,SE,19.22,0,0
3905,2010,6,12,16,89.0,15,31.0,1005.0,SE,7.15,0,0
18185,2012,1,28,16,91.0,-9,-2.0,1029.0,cv,3.12,0,0
6226,2010,9,17,9,34.0,17,18.0,1012.0,cv,0.89,0,13
33378,2013,10,22,17,148.0,7,16.0,1018.0,cv,0.89,0,0
17776,2012,1,11,15,46.0,-16,-1.0,1033.0,SE,12.96,0,0
5831,2010,8,31,22,115.0,20,23.0,1011.0,NE,1.79,0,0
4799,2010,7,19,22,36.0,20,22.0,1005.0,NW,3.58,0,0
19003,2012,3,2,18,100.0,-1,1.0,1028.0,SE,4.92,0,0
34177,2013,11,25,0,15.0,-13,6.0,1015.0,NW,46.05,0,0
28949,2013,4,21,4,123.0,2,5.0,1021.0,SE,1.78,0,0
4990,2010,7,27,21,126.0,23,30.0,1003.0,SE,52.31,0,0
36748,2014,3,12,3,13.0,-10,6.0,1025.0,NW,4.02,0,0
6002,2010,9,8,1,102.0,16,18.0,1015.0,cv,4.01,0,0
32962,2013,10,5,9,322.0,13,16.0,1020.0,cv,0.89,0,0
16192,2011,11,6,15,45.0,1,14.0,1026.0,cv,0.89,0,0
18864,2012,2,25,23,49.0,-20,0.0,1030.0,SE,14.31,0,0
13183,2011,7,4,6,55.0,19,22.0,1005.0,NW,7.15,0,0
21450,2012,6,12,17,5.0,8,30.0,996.0,NE,1.79,0,0
14550,2011,8,30,5,178.0,22,23.0,1009.0,NW,0.89,0,0
10907,2011,3,31,10,212.0,2,14.0,1017.0,SE,1.79,0,0
6285,2010,9,19,20,,14,20.0,1011.0,cv,0.89,0,0
11517,2011,4,25,20,93.0,7,14.0,1003.0,SE,33.98,0,0
18629,2012,2,16,4,11.0,-20,-4.0,1030.0,NW,36.21,0,0
3289,2010,5,18,0,86.0,13,16.0,1006.0,SE,22.35,0,0
41304,2014,9,17,23,55.0,12,15.0,1021.0,cv,0.89,0,0
8607,2010,12,25,14,26.0,-22,-4.0,1025.0,NE,4.02,0,0
33785,2013,11,8,16,175.0,-4,13.0,1018.0,SE,0.89,0,0
16902,2011,12,6,5,229.0,-1,0.0,1030.0,NW,9.84,0,0
28704,2013,4,10,23,26.0,-13,7.0,1018.0,NW,207.86,0,0
888,2010,2,6,23,43.0,-6,-5.0,1027.0,SE,45.15,5,0
27526,2013,2,20,21,77.0,-18,-1.0,1029.0,SE,4.02,0,0
14208,2011,8,15,23,38.0,21,25.0,1003.0,NE,3.13,0,0
3266,2010,5,17,1,49.0,13,14.0,1012.0,SE,103.72,0,1
6475,2010,9,27,18,,-4,20.0,1017.0,NW,86.3,0,0
24876,2012,11,2,11,134.0,5,11.0,1020.0,SE,1.79,0,0
36162,2014,2,15,17,366.0,-8,3.0,1024.0,SE,1.79,0,0
29898,2013,5,30,17,44.0,-2,35.0,1002.0,SE,40.68,0,0
28768,2013,4,13,15,14.0,0,26.0,1003.0,NW,29.95,0,0
19138,2012,3,8,9,16.0,-20,-2.0,1032.0,NE,39.35,0,0
38469,2014,5,22,20,56.0,10,28.0,1006.0,SE,56.32,0,0
31080,2013,7,18,23,86.0,21,25.0,1004.0,cv,1.78,0,0
28176,2013,3,19,23,83.0,0,0.0,1022.0,SE,5.81,4,0
15677,2011,10,16,4,35.0,5,13.0,1010.0,NE,5.81,0,0
17479,2011,12,30,6,79.0,-10,-5.0,1035.0,cv,1.78,0,0
39124,2014,6,19,3,146.0,19,21.0,1003.0,NE,1.79,0,0
6381,2010,9,23,20,,10,17.0,1017.0,SE,24.58,0,0
37027,2014,3,23,18,165.0,-3,17.0,1019.0,SE,29.94,0,0
36211,2014,2,17,18,71.0,-18,1.0,1033.0,SE,26.38,0,0
30928,2013,7,12,15,67.0,23,32.0,1004.0,SE,3.13,0,0
1420,2010,3,1,3,35.0,-5,-4.0,1025.0,SE,18.33,0,0
27996,2013,3,12,11,164.0,2,4.0,1012.0,cv,0.89,0,8
37140,2014,3,28,11,138.0,8,17.0,1008.0,NW,12.96,0,0
4053,2010,6,18,20,100.0,16,22.0,1003.0,SE,16.99,0,0
38024,2014,5,4,7,51.0,-7,11.0,1018.0,NW,174.79,0,0
33345,2013,10,21,8,89.0,3,8.0,1024.0,cv,2.23,0,0
15498,2011,10,8,17,250.0,14,20.0,1016.0,cv,1.79,0,0
6967,2010,10,18,6,71.0,2,8.0,1028.0,cv,2.67,0,0
6074,2010,9,11,1,170.0,11,22.0,1009.0,NW,9.84,0,0
17129,2011,12,15,16,7.0,-19,-2.0,1035.0,NW,70.19,0,0
40238,2014,8,4,13,7.0,19,22.0,1006.0,NE,33.53,0,2
1960,2010,3,23,15,55.0,-8,13.0,1018.0,SE,40.67,0,0
20767,2012,5,15,6,51.0,3,11.0,1007.0,NW,1.79,0,0
15878,2011,10,24,13,7.0,-7,14.0,1027.0,cv,1.79,0,0
20232,2012,4,22,23,245.0,13,17.0,1003.0,SE,22.35,0,0
24873,2012,11,2,8,148.0,3,5.0,1021.0,NW,9.39,0,0
21571,2012,6,17,18,96.0,11,37.0,999.0,SE,27.72,0,0
26701,2013,1,17,12,38.0,-17,0.0,1038.0,NE,23.24,0,0
6769,2010,10,10,0,434.0,13,13.0,1010.0,NE,3.56,0,0
9926,2011,2,18,13,50.0,-14,6.0,1026.0,NW,1.79,0,0
39559,2014,7,7,6,94.0,21,24.0,1005.0,SE,3.58,0,0
22970,2012,8,15,1,57.0,16,18.0,1006.0,cv,0.89,0,0
40921,2014,9,2,0,36.0,19,20.0,1011.0,cv,0.89,0,0
30160,2013,6,10,15,18.0,13,26.0,1011.0,cv,6.25,0,0
40956,2014,9,3,11,13.0,13,27.0,1011.0,cv,0.89,0,0
36810,2014,3,14,17,20.0,-20,16.0,1014.0,SE,20.56,0,0
13148,2011,7,2,19,170.0,23,27.0,1000.0,cv,4.46,0,0
19791,2012,4,4,14,18.0,-15,20.0,1011.0,NW,76.89,0,0
19336,2012,3,16,15,360.0,3,11.0,1010.0,SE,3.58,0,0
12103,2011,5,20,6,46.0,-7,17.0,1013.0,NW,36.22,0,0
43115,2014,12,2,10,23.0,-21,-4.0,1030.0,NW,9.84,0,0
6413,2010,9,25,4,,9,11.0,1016.0,cv,0.89,0,0
3656,2010,6,2,7,,15,18.0,1016.0,cv,0.89,0,0
23381,2012,9,1,4,183.0,22,23.0,1011.0,cv,0.89,0,0
